,t1,t2,t3,ave
412,50.813,50.295,48.708,49.93866666666667
413,50.813,50.203,48.769,49.928333333333335
414,50.844,50.295,48.738,49.959
415,50.783,50.295,48.769,49.949000000000005
416,50.691,50.203,48.677,49.857
417,50.813,50.264,48.708,49.928333333333335
418,50.844,50.233,48.769,49.94866666666667
419,50.783,50.203,48.677,49.88766666666667
420,50.722,50.172,48.708,49.867333333333335
421,50.752,50.264,48.708,49.907999999999994
422,50.813,50.264,48.738,49.93833333333333
423,50.844,50.295,48.769,49.96933333333334
424,50.661,50.142,48.769,49.85733333333334
425,50.63,50.233,48.83,49.89766666666666
426,50.813,50.264,48.769,49.94866666666667
427,50.783,50.356,48.769,49.96933333333334
428,50.752,50.264,48.708,49.907999999999994
429,50.722,50.295,48.708,49.90833333333333
430,50.874,50.325,48.738,49.979000000000006
431,50.722,50.203,48.708,49.87766666666667
432,50.844,50.295,48.738,49.959
433,50.783,50.295,48.738,49.93866666666667
434,50.722,50.203,48.708,49.87766666666667
435,50.844,50.295,48.738,49.959
436,50.722,50.233,48.738,49.89766666666666
437,50.691,50.172,48.647,49.836666666666666
438,50.752,50.233,48.677,49.88733333333334
439,50.63,50.172,48.677,49.82633333333333
440,50.722,50.233,48.677,49.87733333333333
441,50.813,50.295,48.708,49.93866666666667
442,50.783,50.264,48.738,49.928333333333335
443,50.813,50.264,48.708,49.928333333333335
444,50.813,50.264,48.708,49.928333333333335
445,50.722,50.203,48.708,49.87766666666667
446,50.783,50.233,48.769,49.928333333333335
447,50.813,50.325,48.769,49.969
448,50.844,50.264,48.738,49.94866666666667
449,50.783,50.264,48.738,49.928333333333335
450,50.844,50.295,48.708,49.949000000000005
451,50.783,50.233,48.708,49.907999999999994
452,50.752,50.203,48.677,49.87733333333333
453,50.783,50.264,48.708,49.91833333333333
454,50.752,50.172,48.708,49.87733333333333
455,50.722,50.233,48.708,49.88766666666667
456,50.813,50.264,48.738,49.93833333333333
457,50.691,50.203,48.708,49.867333333333335
458,50.752,50.203,48.677,49.87733333333333
459,50.783,50.233,48.738,49.918
460,50.813,50.264,48.738,49.93833333333333
461,50.722,50.233,48.708,49.88766666666667
462,50.752,50.233,48.738,49.90766666666667
463,50.783,50.264,48.708,49.91833333333333
464,50.691,50.233,48.677,49.867
465,50.752,50.233,48.708,49.89766666666666
466,50.691,50.172,48.677,49.846666666666664
467,50.752,50.233,48.738,49.90766666666667
468,50.752,50.203,48.677,49.87733333333333
469,50.722,50.172,48.708,49.867333333333335
470,50.752,50.203,48.708,49.88766666666667
471,50.783,50.264,48.769,49.93866666666667
472,50.844,50.295,48.769,49.96933333333334
473,50.844,50.325,48.738,49.969
474,50.813,50.233,48.738,49.928
475,50.783,50.264,48.708,49.91833333333333
476,50.783,50.233,48.769,49.928333333333335
477,50.783,50.264,48.769,49.93866666666667
478,50.813,50.233,48.769,49.93833333333333
479,50.722,50.203,48.708,49.87766666666667
480,50.752,50.233,48.769,49.918
481,50.722,50.203,48.708,49.87766666666667
482,50.813,50.264,48.769,49.94866666666667
483,50.783,50.233,48.738,49.918
484,50.752,50.264,48.738,49.918000000000006
485,50.783,50.295,48.799,49.959
486,50.722,50.172,48.708,49.867333333333335
487,50.722,50.233,48.738,49.89766666666666
488,50.783,50.295,48.738,49.93866666666667
489,50.783,50.233,48.738,49.918
490,50.722,50.233,48.738,49.89766666666666
491,50.783,50.233,48.769,49.928333333333335
492,50.63,50.142,48.708,49.826666666666675
493,50.691,50.295,48.769,49.91833333333333
494,50.752,50.264,48.769,49.928333333333335
495,50.783,50.264,48.799,49.94866666666667
496,50.752,50.233,48.708,49.89766666666666
497,50.783,50.233,48.738,49.918
498,50.691,50.233,48.769,49.89766666666667
499,50.752,50.295,48.738,49.928333333333335
